Date,Country,TotalCases,TotalDeaths,TotalRecovered
2020-05-18,Afghanistan,36896,1298.0,25840.0
2020-05-19,Afghanistan,36896,1298.0,25840.0
2020-05-20,Afghanistan,36896,1298.0,25840.0
2020-05-21,Afghanistan,36896,1298.0,25840.0
2020-05-22,Afghanistan,36896,1298.0,25840.0
2020-05-23,Afghanistan,36896,1298.0,25840.0
2020-05-24,Afghanistan,36896,1298.0,25840.0
2020-05-25,Afghanistan,36896,1298.0,25840.0
2020-05-26,Afghanistan,36896,1298.0,25840.0
2020-05-27,Afghanistan,36896,1298.0,25840.0
2020-05-28,Afghanistan,36896,1298.0,25840.0
2020-05-29,Afghanistan,36896,1298.0,25840.0
2020-05-30,Afghanistan,36896,1298.0,25840.0
2020-05-31,Afghanistan,36896,1298.0,25840.0
2020-06-01,Afghanistan,36896,1298.0,25840.0
2020-06-02,Afghanistan,36896,1298.0,25840.0
2020-06-03,Afghanistan,36896,1298.0,25840.0
2020-06-04,Afghanistan,36896,1298.0,25840.0
2020-06-05,Afghanistan,36896,1298.0,25840.0
2020-06-06,Afghanistan,36896,1298.0,25840.0
2020-06-07,Afghanistan,36896,1298.0,25840.0
2020-06-08,Afghanistan,36896,1298.0,25840.0
2020-06-09,Afghanistan,36896,1298.0,25840.0
2020-06-10,Afghanistan,36896,1298.0,25840.0
2020-06-11,Afghanistan,36896,1298.0,25840.0
2020-06-12,Afghanistan,36896,1298.0,25840.0
2020-06-13,Afghanistan,36896,1298.0,25840.0
2020-06-14,Afghanistan,36896,1298.0,25840.0
2020-06-15,Afghanistan,36896,1298.0,25840.0
2020-06-16,Afghanistan,36896,1298.0,25840.0
2020-06-17,Afghanistan,36896,1298.0,25840.0
2020-06-18,Afghanistan,36896,1298.0,25840.0
2020-06-19,Afghanistan,36896,1298.0,25840.0
2020-06-20,Afghanistan,36896,1298.0,25840.0
2020-06-21,Afghanistan,36896,1298.0,25840.0
2020-06-22,Afghanistan,36896,1298.0,25840.0
2020-06-23,Afghanistan,36896,1298.0,25840.0
2020-06-24,Afghanistan,36896,1298.0,25840.0
2020-06-25,Afghanistan,36896,1298.0,25840.0
2020-06-26,Afghanistan,36896,1298.0,25840.0
2020-06-27,Afghanistan,36896,1298.0,25840.0
2020-06-28,Afghanistan,36896,1298.0,25840.0
2020-06-29,Afghanistan,36896,1298.0,25840.0
2020-06-30,Afghanistan,36896,1298.0,25840.0
2020-07-01,Afghanistan,36896,1298.0,25840.0
2020-07-02,Afghanistan,36896,1298.0,25840.0
2020-07-03,Afghanistan,36896,1298.0,25840.0
2020-07-04,Afghanistan,36896,1298.0,25840.0
2020-07-05,Afghanistan,36896,1298.0,25840.0
2020-07-06,Afghanistan,36896,1298.0,25840.0
2020-07-07,Afghanistan,36896,1298.0,25840.0
2020-07-08,Afghanistan,36896,1298.0,25840.0
2020-07-09,Afghanistan,36896,1298.0,25840.0
2020-07-10,Afghanistan,36896,1298.0,25840.0
2020-07-11,Afghanistan,36896,1298.0,25840.0
2020-07-12,Afghanistan,36896,1298.0,25840.0
2020-07-13,Afghanistan,36896,1298.0,25840.0
2020-07-14,Afghanistan,36896,1298.0,25840.0
2020-07-15,Afghanistan,36896,1298.0,25840.0
2020-07-16,Afghanistan,36896,1298.0,25840.0
2020-07-17,Afghanistan,36896,1298.0,25840.0
2020-07-18,Afghanistan,36896,1298.0,25840.0
2020-07-19,Afghanistan,36896,1298.0,25840.0
2020-07-20,Afghanistan,36896,1298.0,25840.0
2020-07-21,Afghanistan,36896,1298.0,25840.0
2020-07-22,Afghanistan,36896,1298.0,25840.0
2020-07-23,Afghanistan,36896,1298.0,25840.0
2020-07-24,Afghanistan,36896,1298.0,25840.0
2020-07-25,Afghanistan,36896,1298.0,25840.0
2020-07-26,Afghanistan,36896,1298.0,25840.0
2020-07-27,Afghanistan,36896,1298.0,25840.0
2020-01-22,Albania,6016,188.0,3155.0
2020-01-23,Albania,6016,188.0,3155.0
2020-01-24,Albania,6016,188.0,3155.0
2020-01-25,Albania,6016,188.0,3155.0
2020-01-26,Albania,6016,188.0,3155.0
2020-01-27,Albania,6016,188.0,3155.0
2020-01-28,Albania,6016,188.0,3155.0
2020-01-29,Albania,6016,188.0,3155.0
2020-01-30,Albania,6016,188.0,3155.0
2020-01-31,Albania,6016,188.0,3155.0
2020-02-01,Albania,6016,188.0,3155.0
2020-02-02,Albania,6016,188.0,3155.0
2020-02-03,Albania,6016,188.0,3155.0
2020-02-04,Albania,6016,188.0,3155.0
2020-02-05,Albania,6016,188.0,3155.0
2020-02-06,Albania,6016,188.0,3155.0
2020-02-07,Albania,6016,188.0,3155.0
2020-02-08,Albania,6016,188.0,3155.0
2020-02-09,Albania,6016,188.0,3155.0
2020-02-10,Albania,6016,188.0,3155.0
2020-02-11,Albania,6016,188.0,3155.0
2020-02-12,Albania,6016,188.0,3155.0
2020-02-13,Albania,6016,188.0,3155.0
2020-02-14,Albania,6016,188.0,3155.0
2020-02-15,Albania,6016,188.0,3155.0
2020-02-16,Albania,6016,188.0,3155.0
2020-02-17,Albania,6016,188.0,3155.0
2020-02-18,Albania,6016,188.0,3155.0
2020-02-19,Albania,6016,188.0,3155.0
2020-02-20,Albania,6016,188.0,3155.0
2020-02-21,Albania,6016,188.0,3155.0
2020-02-22,Albania,6016,188.0,3155.0
2020-02-23,Albania,6016,188.0,3155.0
2020-02-24,Albania,6016,188.0,3155.0
2020-02-25,Albania,6016,188.0,3155.0
2020-02-26,Albania,6016,188.0,3155.0
2020-02-27,Albania,6016,188.0,3155.0
2020-02-28,Albania,6016,188.0,3155.0
2020-02-29,Albania,6016,188.0,3155.0
2020-03-01,Albania,6016,188.0,3155.0
2020-03-02,Albania,6016,188.0,3155.0
2020-03-03,Albania,6016,188.0,3155.0
2020-03-04,Albania,6016,188.0,3155.0
2020-03-05,Albania,6016,188.0,3155.0
2020-03-06,Albania,6016,188.0,3155.0
2020-03-07,Albania,6016,188.0,3155.0
2020-03-08,Albania,6016,188.0,3155.0
2020-03-09,Albania,6016,188.0,3155.0
2020-03-10,Albania,6016,188.0,3155.0
2020-03-11,Albania,6016,188.0,3155.0
2020-03-12,Albania,6016,188.0,3155.0
2020-03-13,Albania,6016,188.0,3155.0
2020-03-14,Albania,6016,188.0,3155.0
2020-03-15,Albania,6016,188.0,3155.0
2020-03-16,Albania,6016,188.0,3155.0
2020-03-17,Albania,6016,188.0,3155.0
2020-03-18,Albania,6016,188.0,3155.0
2020-03-19,Albania,6016,188.0,3155.0
2020-03-20,Albania,6016,188.0,3155.0
2020-03-21,Albania,6016,188.0,3155.0
2020-03-22,Albania,6016,188.0,3155.0
2020-03-23,Albania,6016,188.0,3155.0
2020-03-24,Albania,6016,188.0,3155.0
2020-03-25,Albania,6016,188.0,3155.0
2020-03-26,Albania,6016,188.0,3155.0
2020-03-27,Albania,6016,188.0,3155.0
2020-03-28,Albania,6016,188.0,3155.0
2020-03-29,Albania,6016,188.0,3155.0
2020-03-30,Albania,6016,188.0,3155.0
2020-03-31,Albania,6016,188.0,3155.0
2020-04-01,Albania,6016,188.0,3155.0
2020-04-02,Albania,6016,188.0,3155.0
2020-04-03,Albania,6016,188.0,3155.0
2020-04-04,Albania,6016,188.0,3155.0
2020-04-05,Albania,6016,188.0,3155.0
2020-04-06,Albania,6016,188.0,3155.0
2020-04-07,Albania,6016,188.0,3155.0
2020-04-08,Albania,6016,188.0,3155.0
2020-04-09,Albania,6016,188.0,3155.0
2020-04-10,Albania,6016,188.0,3155.0
2020-04-11,Albania,6016,188.0,3155.0
2020-04-12,Albania,6016,188.0,3155.0
2020-04-13,Albania,6016,188.0,3155.0
2020-04-14,Albania,6016,188.0,3155.0
2020-04-15,Albania,6016,188.0,3155.0
2020-04-16,Albania,6016,188.0,3155.0
2020-04-17,Albania,6016,188.0,3155.0
2020-04-18,Albania,6016,188.0,3155.0
2020-04-19,Albania,6016,188.0,3155.0
2020-04-20,Albania,6016,188.0,3155.0
2020-04-21,Albania,6016,188.0,3155.0
2020-04-22,Albania,6016,188.0,3155.0
2020-04-23,Albania,6016,188.0,3155.0
2020-04-24,Albania,6016,188.0,3155.0
2020-04-25,Albania,6016,188.0,3155.0
2020-04-26,Albania,6016,188.0,3155.0
2020-04-27,Albania,6016,188.0,3155.0
2020-04-28,Albania,6016,188.0,3155.0
2020-04-29,Albania,6016,188.0,3155.0
2020-04-30,Albania,6016,188.0,3155.0
2020-05-01,Albania,6016,188.0,3155.0
2020-05-02,Albania,6016,188.0,3155.0
2020-05-03,Albania,6016,188.0,3155.0
2020-05-04,Albania,6016,188.0,3155.0
2020-05-05,Albania,6016,188.0,3155.0
2020-05-06,Albania,6016,188.0,3155.0
2020-05-07,Albania,6016,188.0,3155.0
2020-05-08,Albania,6016,188.0,3155.0
2020-05-09,Albania,6016,188.0,3155.0
2020-05-10,Albania,6016,188.0,3155.0
2020-05-11,Albania,6016,188.0,3155.0
2020-05-12,Albania,6016,188.0,3155.0
2020-05-13,Albania,6016,188.0,3155.0
2020-05-14,Albania,6016,188.0,3155.0
2020-05-15,Albania,6016,188.0,3155.0
2020-05-16,Albania,6016,188.0,3155.0
2020-05-17,Albania,6016,188.0,3155.0
2020-05-18,Albania,6016,188.0,3155.0
